Development,Address,City/State/ZIP,Interruption,Planned,Report Date,Report Time,Restoration Time,Buildings,Units,Residents
THROGGS NECK - Entire Development,2731 SAMPSON AVENUE,"BRONX, NY 10465",Hot Water,Unplanned,10/13/24,07:00 PM,10/13/24 11:47 PM,34,"1,185","2,311"
THROGGS NECK - Entire Development,2731 SAMPSON AVENUE,"BRONX, NY 10465",Hot Water,Unplanned,10/09/24,08:29 PM,10/09/24 11:39 PM,34,"1,185","2,311"
THROGGS NECK - Entire Development,2731 SAMPSON AVENUE,"BRONX, NY 10465",Hot Water,Unplanned,10/06/24,10:11 AM,10/06/24 06:26 PM,34,"1,185","2,311"
THROGGS NECK - Building 01,2731 SAMPSON AVENUE,"BRONX, NY 10465",Hot Water,Planned,05/30/25,12:45 PM,05/30/25 04:22 PM,1,27,59
THROGGS NECK - Building 05,2775 SAMPSON AVENUE,"BRONX, NY 10465",Hot Water,Planned,05/30/25,01:00 PM,05/30/25 04:21 PM,1,18,44
THROGGS NECK - Building 08,2742 DEWEY AVENUE,"BRONX, NY 10465",Hot Water,Planned,05/30/25,02:30 PM,05/30/25 04:21 PM,1,18,44
THROGGS NECK - Building 06,2785 SAMPSON AVENUE,"BRONX, NY 10465",Hot Water,Planned,05/30/25,11:00 AM,05/30/25 03:54 PM,1,18,64
THROGGS NECK - Building 28,2780 RANDALL AVENUE,"BRONX, NY 10465",Hot Water,Planned,05/22/25,09:00 AM,05/22/25 07:40 PM,1,18,42
THROGGS NECK - Building 29,2790 RANDALL AVENUE,"BRONX, NY 10465",Hot Water,Planned,05/22/25,09:00 AM,05/22/25 04:28 PM,1,65,108
THROGGS NECK - Building 18,545 CALHOUN AVENUE,"BRONX, NY 10465",Hot Water,Planned,05/16/25,09:00 AM,05/16/25 07:26 PM,1,70,112
THROGGS NECK - Building 17,505 CALHOUN AVENUE,"BRONX, NY 10465",Hot Water,Planned,05/16/25,09:00 AM,05/16/25 03:44 PM,1,18,39
THROGGS NECK - Building 15,2815 DEWEY AVENUE,"BRONX, NY 10465",Hot Water,Planned,05/15/25,09:00 AM,05/15/25 04:19 PM,1,70,134
THROGGS NECK - Building 12,2773 DEWEY AVENUE,"BRONX, NY 10465",Hot Water,Planned,05/15/25,09:00 AM,05/15/25 04:11 PM,1,27,77
THROGGS NECK - Building 07,2730 DEWEY AVENUE,"BRONX, NY 10465",Hot Water,Planned,05/14/25,09:00 AM,05/14/25 05:15 PM,1,27,62
